,ecomm_name,name,src,price_1,price_2
0,devoto,Yerba BALDO 1 kg,https://geant.vteximg.com.br/arquivos/ids/198329-250-250/649019-1.jpg?v=636344238514670000,185,
1,devoto,Yerba SARA Suave 1 kg,https://geant.vteximg.com.br/arquivos/ids/328490-250-250/649500.jpg?v=638073957324200000,187,
2,devoto,Yerba CANARIAS 1 kg,https://geant.vteximg.com.br/arquivos/ids/292125-250-250/649007.jpg?v=637751072494400000,188,
3,devoto,Yerba CANARIAS serena 1 kg,https://geant.vteximg.com.br/arquivos/ids/206883-250-250/649294.jpg?v=636409161695900000,208,
4,devoto,Yerba CABRAL Silueta Ideal 1 kg,https://geant.vteximg.com.br/arquivos/ids/292129-250-250/649221.jpg?v=637751073939100000,209,
5,devoto,Yerba LA SELVA para nerviosos 1 kg,https://geant.vteximg.com.br/arquivos/ids/278123-250-250/648802.jpg?v=637619674632730000,209,
6,devoto,Yerba compuesta ARMIÑO 1 kg,https://geant.vteximg.com.br/arquivos/ids/292705-250-250/649024.jpg?v=637757040060370000,204,
7,devoto,Yerba LA SELVA para nerviosos 500 g,https://geant.vteximg.com.br/arquivos/ids/278129-250-250/648964.jpg?v=637619678689430000,113,
8,devoto,Yerba LA SELVA sabor naranja pq. 1 kg,https://geant.vteximg.com.br/arquivos/ids/278139-250-250/662476.jpg?v=637619691691700000,224,
9,devoto,Yerba SARA tradicional 1 kg + 100 g de regalo,https://geant.vteximg.com.br/arquivos/ids/241526-250-250/661983.jpg?v=637091801511000000,184,
10,devoto,Yerba CANARIAS té verde y jengibre 1 kg,https://geant.vteximg.com.br/arquivos/ids/226791-250-250/661691.jpg?v=636810193640800000,208,
11,devoto,Yerba DEVOTO suave 1 kg,https://geant.vteximg.com.br/arquivos/ids/224729-250-250/649018.jpg?v=636778912383030000,169,
12,devoto,Yerba CANARIAS CONTIGO 1 kg,https://geant.vteximg.com.br/arquivos/ids/217110-250-250/661400.jpg?v=636615534312430000,182,
13,devoto,Yerba CANARIAS mezcla natural serena 500 g,https://geant.vteximg.com.br/arquivos/ids/292245-250-250/740239.jpg?v=637751744500000000,114,
14,devoto,Yerba activa LA SELVA con ginseng + ginkgo 1 kg,https://geant.vteximg.com.br/arquivos/ids/278149-250-250/669265.jpg?v=637619698509130000,224,
15,devoto,Yerba EL MONCAYO compuesta con gingko biloba 1 kg,https://geant.vteximg.com.br/arquivos/ids/198360-250-250/649653-1.jpg?v=636344239621330000,219,
16,devoto,Yerba DEL CEBADOR 1 kg,https://geant.vteximg.com.br/arquivos/ids/198354-250-250/649519-1.jpg?v=636344239385330000,175,
17,devoto,Yerba CANARIAS Edición especial 1 kg,https://geant.vteximg.com.br/arquivos/ids/292128-250-250/649077.jpg?v=637751073586030000,195,
18,devoto,Yerba ARMIÑO suave 1 kg,https://geant.vteximg.com.br/arquivos/ids/249946-250-250/649026.jpg?v=637244758498300000,188,
19,devoto,Yerba BALDO 500 g,https://geant.vteximg.com.br/arquivos/ids/198331-250-250/649021-1.jpg?v=636344238586870000,99,
20,devoto,Yerba ARMIÑO 1 kg,https://geant.vteximg.com.br/arquivos/ids/292704-250-250/649012.jpg?v=637757039660870000,188,
21,devoto,Yerba LA SELVA compuesta 1 kg,https://geant.vteximg.com.br/arquivos/ids/278128-250-250/648866.jpg?v=637619677936470000,209,
22,devoto,Yerba LA SELVA especial con hierbas 1 kg,https://geant.vteximg.com.br/arquivos/ids/278132-250-250/660265.jpg?v=637619680446200000,208,
23,devoto,Pack x 2 Yerba ARMIÑO compuesta 1 Kg + 250 g de regalo,https://geant.vteximg.com.br/arquivos/ids/265580-250-250/669717-1.jpg?v=637425159257570000,408,
24,devoto,Yerba LA SELVA sabor pomelo 1 kg,https://geant.vteximg.com.br/arquivos/ids/278140-250-250/662477.jpg?v=637619692158230000,224,
25,devoto,Yerba compuesta EL MONCAYO verse bien 1 kg,https://geant.vteximg.com.br/arquivos/ids/220653-250-250/661530.jpg?v=636703795712170000,212,
26,devoto,Mate cocido TARAGÜI 20 sobres,https://geant.vteximg.com.br/arquivos/ids/280166-250-250/645020.jpg?v=637632722350970000,126,
27,devoto,Yerba orgánica CAMPOCLARO 500 g,https://geant.vteximg.com.br/arquivos/ids/222906-250-250/669466.jpg?v=636759998054370000,167,
28,devoto,Yerba FLOR VERDE suave 1 kg,https://geant.vteximg.com.br/arquivos/ids/198358-250-250/649633-1.jpg?v=636344239540000000,165,
29,devoto,Yerba compuesta LA HERBORISTERÍA 1 kg,https://geant.vteximg.com.br/arquivos/ids/278092-250-250/649257.jpg?v=637619583311900000,183,
30,devoto,Yerba ARMIÑO suave 500 g,https://geant.vteximg.com.br/arquivos/ids/198333-250-250/649027-1.jpg?v=636344238657130000,100,
31,devoto,Yerba CANARIAS 500 g,https://geant.vteximg.com.br/arquivos/ids/292126-250-250/649008.jpg?v=637751072805700000,101,
32,devoto,Yerba LA SELVA en forma 1 kg,https://geant.vteximg.com.br/arquivos/ids/278125-250-250/648861.jpg?v=637619675785970000,209,
33,devoto,Yerba LA SELVA para hepáticos 1 kg,https://geant.vteximg.com.br/arquivos/ids/278124-250-250/648803.jpg?v=637619675105870000,209,
34,devoto,Yerba CABRAL Silueta Ideal 500 g,https://geant.vteximg.com.br/arquivos/ids/197060-250-250/647267.jpg?v=636343377314670000,115,
35,devoto,Yerba compuesta CABRAL 1 kg,https://geant.vteximg.com.br/arquivos/ids/292123-250-250/647266.jpg?v=637751071723600000,209,
36,devoto,Yerba CABRAL Díab 1 kg,https://geant.vteximg.com.br/arquivos/ids/197441-250-250/647261.jpg?v=636344093558770000,209,
37,devoto,Yerba LA SELVA compuesta con jengibre 1 kg,https://geant.vteximg.com.br/arquivos/ids/278137-250-250/661481.jpg?v=637619690197570000,209,
38,devoto,Yerba DEL CEBADOR intenso 500 g,https://geant.vteximg.com.br/arquivos/ids/198609-250-250/669434-1.jpg?v=636344248695170000,95,
39,devoto,Yerba DEL CEBADOR 500 g,https://geant.vteximg.com.br/arquivos/ids/198356-250-250/649526-1.jpg?v=636344239469200000,95,
40,devoto,Yerba SARA Suave 500 g,https://geant.vteximg.com.br/arquivos/ids/313782-250-250/649508.jpg?v=637919522111270000,107,
41,devoto,Yerba LA HERBORISTERÍA nerviosos/hepáticos 1 kg,https://geant.vteximg.com.br/arquivos/ids/278091-250-250/649062.jpg?v=637619582905100000,183,
42,devoto,Yerba CABRAL Para nerviosos 1 kg,https://geant.vteximg.com.br/arquivos/ids/197439-250-250/649053.jpg?v=636344092904700000,209,
43,devoto,Yerba LA SELVA 1 kg,https://geant.vteximg.com.br/arquivos/ids/278127-250-250/648865.jpg?v=637619677498830000,188,
44,devoto,Pack x 2 Yerba CANARIAS 70 g,https://geant.vteximg.com.br/arquivos/ids/327836-250-250/661898.jpg?v=638061093484700000,25,
45,devoto,Yerba suave PRECIO LÍDER 1 kg,https://geant.vteximg.com.br/arquivos/ids/323134-250-250/662357-1.jpg?v=638016316007670000,175,
46,devoto,Yerba DEL CEBADOR compuesta 70 g,https://geant.vteximg.com.br/arquivos/ids/296894-250-250/663635.jpg?v=637831424554570000,20,
47,devoto,Yerba DEL CEBADOR clásica 70 g,https://geant.vteximg.com.br/arquivos/ids/296893-250-250/663605.jpg?v=637831424203730000,20,
48,devoto,Yerba LIVRE con ginkgo biloba 500g,https://geant.vteximg.com.br/arquivos/ids/280690-250-250/662836.jpg?v=637642155135600000,120,
49,devoto,Yerba CABRAL dulce con Stevia 1kg,https://geant.vteximg.com.br/arquivos/ids/272980-250-250/662795.jpg?v=637569377268070000,209,
50,devoto,Yerba SARA compuesta 1 kg + 100 g de regalo,https://geant.vteximg.com.br/arquivos/ids/291337-250-250/662711.jpg?v=637744775414430000,213,
51,devoto,Yerba CABRAL Suave 1 kg,https://geant.vteximg.com.br/arquivos/ids/255533-250-250/662436.jpg?v=637323128377670000,192,
52,devoto,Yerba SARA compuesta 1 kg,https://geant.vteximg.com.br/arquivos/ids/313784-250-250/662148.jpg?v=637919522663000000,213,
53,devoto,Yerba CANARIAS té rojo y centella 1 kg,https://geant.vteximg.com.br/arquivos/ids/226792-250-250/661692.jpg?v=636810193957000000,208,
54,devoto,Yerba SARA edición especial 100 años 500 g,https://geant.vteximg.com.br/arquivos/ids/313783-250-250/661689.jpg?v=637919522367670000,129,
55,devoto,Yerba CANARIAS 250 g,https://geant.vteximg.com.br/arquivos/ids/292127-250-250/649036.jpg?v=637751073193070000,55,
56,devoto,Yerba compuesta CABRAL con jengibre 500 g,https://geant.vteximg.com.br/arquivos/ids/224071-250-250/661601.jpg?v=636771055816830000,115,
57,devoto,Yerba CONTIGO 500 g,https://geant.vteximg.com.br/arquivos/ids/220642-250-250/661428.jpg?v=636703795341270000,99,
58,devoto,Yerba compuesta CABRAL con jengibre 1 kg,https://geant.vteximg.com.br/arquivos/ids/292150-250-250/661480.jpg?v=637751080162930000,209,
59,devoto,Yerba orgánica CAMPOCLARO compuesta 500 g,https://geant.vteximg.com.br/arquivos/ids/220491-250-250/661118.jpg?v=636701007994570000,167,
60,devoto,Yerba compuesta CABRAL 500 g,https://geant.vteximg.com.br/arquivos/ids/197341-250-250/740287.jpg?v=636343510659430000,115,
61,devoto,Yerba DEL CEBADOR intenso 1 kg,https://geant.vteximg.com.br/arquivos/ids/198624-250-250/669642-1.jpg?v=636344249156200000,175,
62,devoto,Yerba LA SELVA compuesta 500 g,https://geant.vteximg.com.br/arquivos/ids/278131-250-250/649753.jpg?v=637619680045930000,113,
63,devoto,Yerba CANARIAS con Hierbas 1 kg,https://geant.vteximg.com.br/arquivos/ids/268961-250-250/649711.jpg?v=637522715756600000,195,
